kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
534544,Vinaře,211,117,117,5,0,0,8,0,7,16,2,1,3,0,0,5,0,0,4,51,0,0,2,0,0,1,0,11,1
534552,Vlačice,204,118,118,7,0,1,10,0,7,17,0,0,0,0,0,11,0,0,3,39,0,2,6,0,0,0,1,14,0
534561,Vlastějovice,383,215,211,33,0,0,32,0,15,11,2,4,0,0,0,27,0,0,4,61,0,0,9,0,0,0,0,13,0
534579,Vlkaneč,520,345,345,26,0,0,38,0,24,30,6,1,2,0,0,23,0,0,15,121,0,2,24,0,1,0,0,30,2
531014,Vodranty,72,51,51,0,0,0,10,0,4,7,1,0,0,0,0,4,0,0,2,15,0,0,1,0,0,0,0,6,1
534587,Vrdy,2347,1362,1360,109,3,1,127,1,119,147,7,9,10,2,1,115,0,0,33,491,3,0,16,0,7,0,2,149,8
534595,Záboří nad Labem,674,430,429,26,0,0,34,0,79,52,1,6,8,0,0,26,1,0,11,134,0,1,11,0,1,2,0,36,0
534609,Zbizuby,373,233,233,20,0,0,26,1,21,20,0,1,1,0,0,13,0,0,3,76,1,0,11,0,1,0,0,38,0
534617,Zbraslavice,1130,679,674,79,0,0,55,1,60,63,2,1,10,0,4,54,1,3,31,229,0,0,18,1,0,0,0,60,2
534625,Zbýšov,536,332,330,22,3,0,41,0,27,38,3,3,2,0,0,27,0,0,6,110,0,3,10,0,0,2,0,33,0
534633,Zruč nad Sázavou,3865,2216,2195,182,5,0,204,4,210,177,27,23,17,4,2,234,0,1,66,763,1,5,58,0,13,2,8,183,6
534641,Žáky,289,167,167,13,0,0,23,2,11,18,0,10,3,0,0,7,0,0,4,63,0,0,5,0,0,0,0,8,0
534650,Žehušice,613,367,365,36,0,0,26,1,35,21,5,3,9,1,0,33,0,0,7,135,0,2,13,0,3,0,0,34,1
534668,Žleby,1091,585,584,59,0,1,52,0,38,56,4,3,5,0,0,39,1,0,8,216,1,2,9,0,0,0,1,88,1
